instrument_type,year,month,value_rub_mm,value_usd_mm,num_trades
futures,2015,1,3975246.509271,62206.68984597,18763192.0
futures,2015,2,6403488.000681,98303.17561691,26257197.0
futures,2015,3,6048006.502398,100096.80633399,23132965.0
futures,2015,4,6171327.4960859995,116502.4838359,28356177.0
futures,2015,5,4203681.635718,83429.49603803,18948506.0
futures,2015,6,6250714.365514,114921.28234429,25567295.0
futures,2015,7,7276565.24728,126741.09765496,25539434.0
futures,2015,8,11321942.662013,171809.15836304,33305581.0
futures,2015,9,10316980.965812,154486.6415185,31734545.0
futures,2015,10,9770792.488961,154565.1453559,30631485.0
futures,2015,11,8985670.818925,138196.10431598,27244438.0
futures,2015,12,9513231.744806,137171.1917994,26623109.0
futures,2016,1,10219829.57062,130767.19272294,32155743.0
futures,2016,2,12941693.410983,167244.71467654,41456698.0
futures,2016,3,10866880.304544,153955.09860959,33956838.0
futures,2016,4,10125307.754672,151680.93634243,32431938.0
futures,2016,5,7386561.209969,112395.65838567,24176987.0
futures,2016,6,8903580.438068,136481.681411,28310868.0
futures,2016,7,7419225.830501,115430.18302383,24732052.0
futures,2016,8,8654254.406217,133049.35399078002,27026687.0
futures,2016,9,9259574.897418,143448.40239989,27884012.0
futures,2016,10,6757732.968666,107961.87593414,19795300.0
futures,2016,11,9248862.068183,143644.86147862,26845522.0
futures,2016,12,7734860.114376,124180.08122536,22438643.0
futures,2017,1,6511629.336943,108838.63725854,20015240.0
futures,2017,2,5916275.299271,101116.9486614,18845943.0
futures,2017,3,7994625.105804,137628.14829183,26459517.0
futures,2017,4,5953975.221381,105557.53792275,21234350.0
futures,2017,5,5953559.857016,104563.44614221,21247761.0
futures,2017,6,6941024.4787530005,119879.32369907,24126388.0
futures,2017,7,6620694.092445,110857.53493055,22901150.0
futures,2017,8,6732696.95483,112897.02715245,22158817.0
futures,2017,9,6691616.144021,115892.15262304,21186085.0
futures,2017,10,5964867.944854,103364.24576046,18312216.0
futures,2017,11,6813857.113196,115631.91332276,21710068.0
futures,2017,12,5538658.90117,94364.68807961,15887014.0
futures,2018,1,4775771.648054,84336.99407568,14837132.0
futures,2018,2,6626009.652481,116424.60919047,21732309.0
futures,2018,3,7035708.762532,123434.90962331,22209212.0
futures,2018,4,7519873.232549,124367.36845387,26212119.0
futures,2018,5,6281804.325734,100956.34435401,19045583.0
