instrument_type,year,quarter,value_rub_mm,value_usd_mm,num_trades
futures,2022,1,33952982.608844,437216.064638822,107798376.0
futures,2022,2,14660551.612305,229244.31174107,86344111.0
futures,2022,3,15411898.033451,260589.54726535,86150001.0
futures,2022,4,10804796.166235,171621.46385481211,63104696.0
futures,2023,1,12976137.840671,177124.75087177785,67316219.0
futures,2023,2,16833497.139177002,207107.28945845275,70135454.0
futures,2023,3,22480590.676208,237631.59427611076,76687120.0
futures,2023,4,23354950.783393,251695.68832129144,75033559.0
futures,2024,1,19481293.553479,214713.0341854412,62558423.0
futures,2024,2,21286752.085177,236076.72378080714,62359505.0
futures,2024,3,22593410.643430002,252710.82812733372,73022861.0
futures,2024,4,28650402.332583,286030.9016777658,85203086.0
futures,2025,1,31430836.045162,343343.8596476316,98657747.0
futures,2025,2,29060325.116088,358579.6315063022,99829587.0
futures,2025,3,30769087.192755,380126.55444032955,90421712.0
futures,2025,4,41660288.808961,521630.0302833118,114586576.0
futures,2026,1,46118788.032894,587138.9333656151,147301962.0
futures,2026,2,26429115.019021,352833.04146437166,85649847.0
options,2022,1,1146139.164799,14842.6106479382,1653244.0
options,2022,2,311633.860794,4912.3493212428,821349.0
options,2022,3,388028.25487299997,6546.7403023565,989411.0
options,2022,4,330752.214692,5234.014041626517,843466.0
options,2023,1,459670.076887,6286.415272639419,896704.0
options,2023,2,606390.053407,7465.447522736749,1187333.0
options,2023,3,881049.834616,9319.022081574465,1436016.0
options,2023,4,836011.559636,9001.389744753496,1345861.0
options,2024,1,706842.530109,7793.45055591947,1165342.0
options,2024,2,702186.164575,7770.752108419009,1174359.0
options,2024,3,784193.97019,8777.363476699275,1322550.0
options,2024,4,1002187.388178,10013.320947157676,1509488.0
options,2025,1,990051.8966099999,10781.717183756435,1558864.0
options,2025,2,752969.546733,9268.952083618846,1323139.0
options,2025,3,719666.388376,8887.654145282235,1276854.0
options,2025,4,811921.677397,10159.849231812199,1446528.0
options,2026,1,748694.896084,9497.796035226618,1242945.0
options,2026,2,522781.445206,6967.570160211024,842663.0
totals,2022,1,35099121.77365,452058.67528665997,109451620.0
totals,2022,2,14972185.473099,234156.66106229,87165460.0
totals,2022,3,15799926.288324,267136.28756766,87139412.0
totals,2022,4,11135548.380927,176855.47789644552,63948162.0
totals,2023,1,13435807.917558,183411.16614441728,68212923.0
totals,2023,2,17439887.192584,214572.73698118952,71322787.0
totals,2023,3,23361640.510824,246950.6163576852,78123136.0
totals,2023,4,24190962.343029,260697.07806604492,76379420.0
totals,2024,1,20188136.083588,222506.48474136068,63723765.0
totals,2024,2,21988938.249752,243847.47588922613,63533864.0
totals,2024,3,23377604.613619998,261488.191604033,74345411.0
totals,2024,4,29652589.720761,296044.22262492345,86712574.0
totals,2025,1,32420887.941772,354125.57683138805,100216611.0
totals,2025,2,29813294.662821,367848.58358992107,101152726.0
totals,2025,3,31488753.581131,389014.2085856118,91698566.0
totals,2025,4,42472210.486358,531789.879515124,116033104.0
totals,2026,1,46867482.928978,596636.7294008418,148544907.0
totals,2026,2,26951896.464227002,359800.61162458267,86492510.0
