instrument_type,year,value_rub_mm,value_usd_mm,num_trades
futures,2022,74830228.420835,1098671.3875000542,343397184.0
futures,2023,75645176.439449,873559.3229276328,289172352.0
futures,2024,92011858.614669,989531.4877713479,283143875.0
futures,2025,132920537.162966,1603680.0758775752,403495622.0
futures,2026,72547903.051915,939971.9748299868,232951809.0
options,2022,2176553.495158,31535.714313164015,4307470.0
options,2023,2783121.524546,32072.27462170413,4865914.0
options,2024,3195410.053052,34354.88708819543,5171739.0
options,2025,3274609.509116,39098.17264446971,5605385.0
options,2026,1271476.34129,16465.36619543764,2085608.0
totals,2022,77006781.916,1130207.1018130556,347704654.0
totals,2023,78428297.963995,905631.597549337,294038266.0
totals,2024,95207268.667721,1023886.3748595433,288315614.0
totals,2025,136195146.672082,1642778.2485220449,409101007.0
totals,2026,73819379.393205,956437.3410254244,235037417.0
