year,quarter,month,active_clients,delta_active_clients
2015,1,1,65298,0
2015,1,2,72626,7328
2015,1,3,70713,-1913
2015,2,4,69966,-747
2015,2,5,61889,-8077
2015,2,6,60527,-1362
2015,3,7,64403,3876
2015,3,8,65741,1338
2015,3,9,66658,917
2015,4,10,72502,5844
2015,4,11,74239,1737
2015,4,12,73871,-368
2016,1,1,70631,-3240
2016,1,2,73102,2471
2016,1,3,78888,5786
2016,2,4,79908,1020
2016,2,5,68717,-11191
2016,2,6,72048,3331
2016,3,7,72965,917
2016,3,8,75588,2623
2016,3,9,78522,2934
2016,4,10,78407,-115
2016,4,11,90409,12002
2016,4,12,98278,7869
2017,1,1,90341,-7937
2017,1,2,94497,4156
2017,1,3,94952,455
2017,2,4,90385,-4567
2017,2,5,90111,-274
2017,2,6,89866,-245
2017,3,7,92776,2910
2017,3,8,102351,9575
2017,3,9,100306,-2045
2017,4,10,106755,6449
2017,4,11,112830,6075
2017,4,12,114347,1517
2018,1,2,118612,4265
2018,1,3,109303,-9309
2018,2,4,132701,23398
2018,2,5,115926,-16775
2018,2,6,124974,9048
2018,3,7,139532,14558
2018,3,8,159915,20383
2018,3,9,147722,-12193
2018,4,10,173111,25389
2018,4,11,166030,-7081
2018,4,12,193696,27666
2019,1,1,193307,-389
2019,1,2,197345,4038
2019,1,3,191764,-5581
2019,2,4,210800,19036
2019,2,5,207536,-3264
2019,2,6,223165,15629
2019,3,7,264959,41794
2019,3,8,262310,-2649
2019,3,9,269589,7279
2019,4,10,316392,46803
2019,4,11,329190,12798
2019,4,12,416627,87437
2020,1,1,448111,31484
2020,1,2,496301,48190
2020,1,3,668293,171992
2020,2,4,656120,-12173
2020,2,5,644255,-11865
2020,2,6,769203,124948
2020,3,7,895192,125989
2020,3,8,1047844,152652
2020,3,9,1162472,114628
2020,4,10,1335418,172946
2020,4,11,1467985,132567
2020,4,12,1549114,81129
2021,1,1,1601234,52120
2021,1,2,1762635,161401
2021,1,3,1990513,227878
2021,2,4,2031750,41237
2021,2,5,1992002,-39748
2021,2,6,2084906,92904
2021,3,7,2148704,63798
2021,3,8,2282708,134004
2021,3,9,2500010,217302
2021,4,10,2643278,143268
2021,4,11,2954939,311661
2021,4,12,2905748,-49191
