date,instrument_type,value_rub_mm,value_usd_mm,num_trades,year,month,quarter
2015-01-05,futures,90698.541623,1612.77404482,545411.0,2015,1,1
2015-01-06,futures,95840.403131,1704.20507154,591717.0,2015,1,1
2015-01-08,futures,151026.82793,2685.5133919299997,891796.0,2015,1,1
2015-01-09,futures,154043.813269,2739.16051306,893840.0,2015,1,1
2015-01-12,futures,157218.257282,2795.6075167100003,803737.0,2015,1,1
2015-01-13,futures,187270.545781,2985.04288237,950826.0,2015,1,1
2015-01-14,futures,193267.591891,2980.56971725,969636.0,2015,1,1
2015-01-15,futures,295457.335775,4469.96875525,1348510.0,2015,1,1
2015-01-16,futures,189411.942907,2921.50444764,944696.0,2015,1,1
2015-01-19,futures,224174.604751,3439.6429968899997,1050408.0,2015,1,1
2015-01-20,futures,191929.35673,2953.97728186,865081.0,2015,1,1
2015-01-21,futures,228732.757078,3519.7127556,908630.0,2015,1,1
2015-01-22,futures,243068.946754,3707.8175654,1083631.0,2015,1,1
2015-01-23,futures,254636.668452,3893.52704055,1122108.0,2015,1,1
2015-01-26,futures,229915.048013,3626.82075329,1011390.0,2015,1,1
2015-01-27,futures,289802.497762,4418.145306060001,1327744.0,2015,1,1
2015-01-28,futures,249016.494486,3671.9810203,1094868.0,2015,1,1
2015-01-29,futures,240400.197248,3580.0156253,1062231.0,2015,1,1
2015-01-30,futures,309334.678408,4500.703160149999,1296932.0,2015,1,1
2015-02-02,futures,393771.90062,5712.709155060001,1614656.0,2015,2,1
2015-02-03,futures,388978.829925,5583.64190866,1470708.0,2015,2,1
2015-02-04,futures,403443.575418,5952.89217366,1508931.0,2015,2,1
2015-02-05,futures,474127.579248,7244.45091827,1832355.0,2015,2,1
2015-02-06,futures,363812.021652,5302.5087945,1514276.0,2015,2,1
2015-02-09,futures,407239.690932,6166.26224853,1754398.0,2015,2,1
2015-02-10,futures,278184.358641,4228.9019384,1177673.0,2015,2,1
2015-02-11,futures,299604.111472,4577.81975116,1218256.0,2015,2,1
2015-02-12,futures,474805.258063,7187.64819157,2115372.0,2015,2,1
2015-02-13,futures,349876.325324,5293.184587520001,1503862.0,2015,2,1
2015-02-16,futures,264800.378379,4068.45657573,1152533.0,2015,2,1
2015-02-17,futures,302401.634725,4825.82496146,1370379.0,2015,2,1
2015-02-18,futures,346471.869713,5513.96857679,1449189.0,2015,2,1
2015-02-19,futures,304855.253551,4885.49302887,1369978.0,2015,2,1
2015-02-20,futures,275568.878767,4435.309416550001,1137515.0,2015,2,1
2015-02-24,futures,258215.16925,4183.41748686,989593.0,2015,2,1
2015-02-25,futures,233012.273979,3669.00505885,860027.0,2015,2,1
2015-02-26,futures,309161.083895,4939.4171632,1154809.0,2015,2,1
2015-02-27,futures,275157.807127,4532.26368127,1062687.0,2015,2,1
2015-03-02,futures,240845.454346,3930.77164937,870176.0,2015,3,1
2015-03-03,futures,278273.346913,4472.064946979999,994314.0,2015,3,1
2015-03-04,futures,266980.473284,4280.94125516,927910.0,2015,3,1
2015-03-05,futures,279595.350532,4518.749251020001,1103237.0,2015,3,1
2015-03-06,futures,276895.301221,4477.195685729999,1051023.0,2015,3,1
2015-03-10,futures,315408.526949,5257.352042189999,1089973.0,2015,3,1
2015-03-11,futures,364480.548759,6008.09609443,1250257.0,2015,3,1
2015-03-12,futures,348098.255901,5553.60437113,1154251.0,2015,3,1
2015-03-13,futures,374726.097433,6147.1320701899995,1279682.0,2015,3,1
2015-03-16,futures,357787.170369,5835.0689187299995,1176633.0,2015,3,1
2015-03-17,futures,259829.715373,4180.7074752300005,1042832.0,2015,3,1
2015-03-18,futures,222271.081873,3599.47339918,852370.0,2015,3,1
2015-03-19,futures,331732.566763,5407.363639470001,1241446.0,2015,3,1
2015-03-20,futures,295196.930964,4933.8623412,1226885.0,2015,3,1
2015-03-23,futures,243248.760192,4051.8432056399997,951135.0,2015,3,1
2015-03-24,futures,269361.22178,4531.252679439999,1093785.0,2015,3,1
2015-03-25,futures,297447.914109,5061.13413263,1205227.0,2015,3,1
2015-03-26,futures,319355.199321,5564.85250934,1438307.0,2015,3,1
2015-03-27,futures,243185.651055,4309.73151296,1140734.0,2015,3,1
2015-03-30,futures,235291.44179,4075.87045068,1047802.0,2015,3,1
2015-03-31,futures,227995.493471,3899.73870329,994986.0,2015,3,1
2015-04-01,futures,263040.145408,4562.70850664,1127540.0,2015,4,2
2015-04-02,futures,281496.343235,4823.97561136,1205858.0,2015,4,2
2015-04-03,futures,216264.305586,3794.76305726,949555.0,2015,4,2
2015-04-06,futures,205449.863758,3620.04503269,807943.0,2015,4,2
2015-04-07,futures,282884.039987,5005.370858689999,1258685.0,2015,4,2
2015-04-08,futures,295888.042385,5347.42580142,1236573.0,2015,4,2
2015-04-09,futures,335692.399825,6213.41921308,1467913.0,2015,4,2
2015-04-10,futures,368986.026681,7022.63365741,1649613.0,2015,4,2
2015-04-13,futures,320822.397179,6282.28349721,1419099.0,2015,4,2
2015-04-14,futures,247401.057117,4719.41278694,1117755.0,2015,4,2
2015-04-15,futures,237623.791183,4571.89511058,1062109.0,2015,4,2
