date,instrument_type,value_rub_mm,value_usd_mm,num_trades,year,month,quarter
2015-01-05,options,3144.422515,55.9131704589,10289.0,2015,1,1
2015-01-06,options,22052.054565,392.12296693,10997.0,2015,1,1
2015-01-08,options,5847.276459,103.974502095,17918.0,2015,1,1
2015-01-09,options,6112.524754,108.69106708,15250.0,2015,1,1
2015-01-12,options,4833.612783,85.94984108499999,11628.0,2015,1,1
2015-01-13,options,27353.808747,436.012464028,14723.0,2015,1,1
2015-01-14,options,7296.5259,112.52690596400001,13871.0,2015,1,1
2015-01-15,options,11222.080675,169.778658074,25428.0,2015,1,1
2015-01-16,options,5258.7084,81.1107248237,10692.0,2015,1,1
2015-01-19,options,4772.454525,73.22658069650001,10042.0,2015,1,1
2015-01-20,options,4015.652252,61.804747988399996,7913.0,2015,1,1
2015-01-21,options,4033.657113,62.0694410967,8352.0,2015,1,1
2015-01-22,options,7323.407168,111.71257414300001,11330.0,2015,1,1
2015-01-23,options,6614.466833,101.13863659,11459.0,2015,1,1
2015-01-26,options,6194.279611,97.71235958230001,11481.0,2015,1,1
2015-01-27,options,7703.299848,117.43962984299999,14450.0,2015,1,1
2015-01-28,options,6779.175371,99.965278794,11733.0,2015,1,1
2015-01-29,options,10909.912751,162.469326424,10764.0,2015,1,1
2015-01-30,options,7046.896532,102.52969261,14947.0,2015,1,1
2015-02-02,options,10161.026348,147.412723335,17846.0,2015,2,1
2015-02-03,options,10799.318723,155.020078132,16656.0,2015,2,1
2015-02-04,options,11543.914154,170.332805894,16773.0,2015,2,1
2015-02-05,options,12366.705294,188.95755793200001,22721.0,2015,2,1
2015-02-06,options,10560.181425,153.913151697,19071.0,2015,2,1
2015-02-09,options,15666.553177,237.216748689,26217.0,2015,2,1
2015-02-10,options,11332.608896,172.27601135299997,14499.0,2015,2,1
2015-02-11,options,9231.629931,141.05526665099998,14839.0,2015,2,1
2015-02-12,options,18046.599442,273.191178153,29813.0,2015,2,1
2015-02-13,options,15626.418813,236.407876819,26335.0,2015,2,1
2015-02-16,options,11563.950744,177.671315025,24169.0,2015,2,1
2015-02-17,options,9792.155159,156.266439617,15683.0,2015,2,1
2015-02-18,options,7246.43133,115.324209958,12762.0,2015,2,1
2015-02-19,options,8407.799135,134.740154823,14004.0,2015,2,1
2015-02-20,options,9444.179823,152.005044575,10782.0,2015,2,1
2015-02-24,options,21239.044663,344.09981065600005,12408.0,2015,2,1
2015-02-25,options,13361.841595,210.395201808,10830.0,2015,2,1
2015-02-26,options,11828.290984,188.97871220300001,15103.0,2015,2,1
2015-02-27,options,9523.545183,156.867138899,12485.0,2015,2,1
2015-03-02,options,5858.08138,95.6081162949,10078.0,2015,3,1
2015-03-03,options,7836.3025,125.935358571,13198.0,2015,3,1
2015-03-04,options,11736.027278,188.183213282,15975.0,2015,3,1
2015-03-05,options,10140.288677,163.884777687,16091.0,2015,3,1
2015-03-06,options,19379.258488,313.348518781,19279.0,2015,3,1
2015-03-10,options,21803.246488,363.424995383,26547.0,2015,3,1
2015-03-11,options,12956.192909,213.569838721,19901.0,2015,3,1
