tradedate,asset,series_type,expiration_date,valtoday,voltoday,openposition,oichange,updatetime
2026-04-01,AFLT,W,2026-04-01,1766700.0,3643,0,-18788,2026-04-01 23:50:00
2026-04-01,AFLT,W,2026-04-08,3300555.0,6667,18090,12806,2026-04-01 23:50:00
2026-04-01,AFLT,W,2026-04-22,139500.0,300,600,600,2026-04-01 23:50:00
2026-04-01,AFLT,M,2026-04-15,1472310.0,3610,13884,5242,2026-04-01 23:50:00
2026-04-01,AFLT,W,2026-04-01,1766700.0,3643,0,-18788,2026-04-01 23:50:00
2026-04-01,AFLT,W,2026-04-08,3300555.0,6667,18090,12806,2026-04-01 23:50:00
2026-04-01,AFLT,W,2026-04-22,139500.0,300,600,600,2026-04-01 23:50:00
2026-04-01,AFLT,M,2026-04-15,1472310.0,3610,13884,5242,2026-04-01 23:50:00
2026-04-01,ALRS,W,2026-04-01,69000.0,1800,0,-527314,2026-04-01 23:50:00
2026-04-01,ALRS,W,2026-04-08,4889815.0,139438,393024,265600,2026-04-01 23:50:00
2026-04-01,ALRS,W,2026-04-22,32500.0,1000,2000,2000,2026-04-01 23:50:00
2026-04-01,ALRS,M,2026-04-15,910323.0,25424,381140,40636,2026-04-01 23:50:00
2026-04-01,ALRS,Q,2029-06-20,0.0,1194,6405704,0,2026-04-01 17:42:19
2026-04-01,ALRS,W,2026-04-01,69000.0,1800,0,-527314,2026-04-01 23:50:00
2026-04-01,ALRS,W,2026-04-08,4889815.0,139438,393024,265600,2026-04-01 23:50:00
2026-04-01,ALRS,W,2026-04-22,32500.0,1000,2000,2000,2026-04-01 23:50:00
2026-04-01,ALRS,M,2026-04-15,910323.0,25424,381140,40636,2026-04-01 23:50:00
2026-04-01,ALRS,Q,2029-06-20,0.0,1194,6405704,0,2026-04-01 17:42:19
2026-04-01,CHMF,W,2026-04-01,191250.0,225,0,-4630,2026-04-01 23:50:00
2026-04-01,CHMF,W,2026-04-08,435950.0,518,3126,366,2026-04-01 23:50:00
2026-04-01,CHMF,M,2026-04-15,324300.0,385,7452,126,2026-04-01 23:50:00
2026-04-01,CHMF,W,2026-04-01,191250.0,225,0,-4630,2026-04-01 23:50:00
2026-04-01,CHMF,W,2026-04-08,435950.0,518,3126,366,2026-04-01 23:50:00
2026-04-01,CHMF,M,2026-04-15,324300.0,385,7452,126,2026-04-01 23:50:00
2026-04-01,FEES,W,2026-04-01,541500.0,750,0,-6532,2026-04-01 23:50:00
2026-04-01,FEES,W,2026-04-08,290200.0,414,2910,-128,2026-04-01 23:50:00
2026-04-01,FEES,M,2026-04-15,5700.0,8,3666,16,2026-04-01 23:50:00
2026-04-01,FEES,W,2026-04-01,541500.0,750,0,-6532,2026-04-01 23:50:00
2026-04-01,FEES,W,2026-04-08,290200.0,414,2910,-128,2026-04-01 23:50:00
2026-04-01,FEES,M,2026-04-15,5700.0,8,3666,16,2026-04-01 23:50:00
2026-04-01,GMKN,W,2026-04-01,2432500.0,1664,0,-15732,2026-04-01 23:50:00
2026-04-01,GMKN,W,2026-04-08,1364800.0,972,4738,926,2026-04-01 23:50:00
2026-04-01,GMKN,M,2026-04-15,2274400.0,1579,33642,2702,2026-04-01 23:50:00
2026-04-01,GMKN,W,2026-04-01,2432500.0,1664,0,-15732,2026-04-01 23:50:00
2026-04-01,GMKN,W,2026-04-08,1364800.0,972,4738,926,2026-04-01 23:50:00
2026-04-01,GMKN,M,2026-04-15,2274400.0,1579,33642,2702,2026-04-01 23:50:00
2026-04-01,IRAO,W,2026-04-01,647500.0,2025,0,-11470,2026-04-01 23:50:00
2026-04-01,IRAO,W,2026-04-08,418680.0,1316,3022,1172,2026-04-01 23:50:00
2026-04-01,IRAO,M,2026-04-15,19600.0,62,4498,24,2026-04-01 23:50:00
2026-04-01,IRAO,W,2026-04-01,647500.0,2025,0,-11470,2026-04-01 23:50:00
2026-04-01,IRAO,W,2026-04-08,418680.0,1316,3022,1172,2026-04-01 23:50:00
2026-04-01,IRAO,M,2026-04-15,19600.0,62,4498,24,2026-04-01 23:50:00
2026-04-01,LKOH,W,2026-04-01,1897750.0,339,0,-9138,2026-04-01 23:50:00
2026-04-01,LKOH,W,2026-04-08,1694500.0,312,2192,600,2026-04-01 23:50:00
2026-04-01,LKOH,M,2026-04-15,1109750.0,195,4174,350,2026-04-01 23:50:00
2026-04-01,LKOH,Q,2026-06-17,57500.0,10,494,20,2026-04-01 23:50:00
2026-04-01,LKOH,W,2026-04-01,1897750.0,339,0,-9138,2026-04-01 23:50:00
2026-04-01,LKOH,W,2026-04-08,1694500.0,312,2192,600,2026-04-01 23:50:00
2026-04-01,LKOH,M,2026-04-15,1109750.0,195,4174,350,2026-04-01 23:50:00
2026-04-01,LKOH,Q,2026-06-17,57500.0,10,494,20,2026-04-01 23:50:00
2026-04-01,MAGN,W,2026-04-01,259946.0,9690,0,-256810,2026-04-01 23:50:00
2026-04-01,MAGN,W,2026-04-08,534318.0,19778,172796,15620,2026-04-01 23:50:00
2026-04-01,MAGN,W,2026-04-22,100000.0,4000,8000,8000,2026-04-01 23:50:00
2026-04-01,MAGN,M,2026-04-15,492046.0,18465,211964,22520,2026-04-01 23:50:00
2026-04-01,MAGN,W,2026-04-01,259946.0,9690,0,-256810,2026-04-01 23:50:00
2026-04-01,MAGN,W,2026-04-08,534318.0,19778,172796,15620,2026-04-01 23:50:00
