TRADEDATE,SECID,SHORTNAME,ASSETCODE,VALUE,VOLUME,NUMTRADES,OPENPOSITION,OPENPOSITIONVALUE,year,month,day
2026-03-02,AAH6,AFRICA-3.26,AFRICA,1564420.35,248.0,107,630,3896323.2,2026,3,2
2026-03-02,AAM6,AFRICA-6.26,AFRICA,132705.94,20.0,15,216,1401561.36,2026,3,2
2026-03-02,AEH6,AED-3.26,AED,62549.0,3.0,2,428,9015392.0,2026,3,2
2026-03-02,AEM6,AED-6.26,AED,86510.0,4.0,2,150,3244050.0,2026,3,2
2026-03-02,AFH6,AFLT-3.26,AFLT,197901959.0,35908.0,5269,108548,592997724.0,2026,3,2
2026-03-02,AFM6,AFLT-6.26,AFLT,75881882.0,13226.0,2825,33430,190016120.0,2026,3,2
2026-03-02,AGH6,ARGT-3.26,ARGT,112877.82,16.0,6,1404,9933608.88,2026,3,2
2026-03-02,AGM6,ARGT-6.26,ARGT,29212.29,4.0,4,90,654273.0,2026,3,2
2026-03-02,AKH6,AFKS-3.26,AFKS,111669667.0,8097.0,1822,39184,537173456.0,2026,3,2
2026-03-02,AKM6,AFKS-6.26,AFKS,5785319.0,404.0,189,1402,19972892.0,2026,3,2
2026-03-02,ALH6,ALRS-3.26,ALRS,70537500.0,17518.0,2246,131798,528246384.0,2026,3,2
2026-03-02,ALM6,ALRS-6.26,ALRS,6645081.0,1603.0,340,10998,45080802.0,2026,3,2
2026-03-02,ANH6,ALUM-3.26,ALUM,373882381.76,15011.0,4235,30282,749698438.86,2026,3,2
2026-03-02,ANM6,ALUM-6.26,ALUM,110915612.24,4393.0,1595,21822,548588495.28,2026,3,2
2026-03-02,ASH6,ASTR-3.26,ASTR,6288333.0,24081.0,318,237394,61247652.0,2026,3,2
2026-03-02,ASM6,ASTR-6.26,ASTR,1542932.0,5733.0,161,41190,11080110.0,2026,3,2
2026-03-02,AUH6,AUDU-3.26,AUDU,6540461.08,120.0,7,208,11339180.32,2026,3,2
2026-03-02,BBH6,ALIBABA-3.26,ALIBABA,54689916.81,4991.0,800,27336,300428380.56,2026,3,2
2026-03-02,BBM6,ALIBABA-6.26,ALIBABA,2836491.47,251.0,146,1560,17615442.0,2026,3,2
2026-03-02,BDH6,BAIDU-3.26,BAIDU,67710738.93,7168.0,351,5450,52103035.5,2026,3,2
2026-03-02,BDM6,BAIDU-6.26,BAIDU,1324009.47,136.0,79,1006,9907138.3,2026,3,2
2026-03-02,BMH6,BRM-3.26,BRM,870143200.22,155286.0,10725,0,0.0,2026,3,2
2026-03-02,BMJ6,BRM-4.26,BRM,1780544990.56,292760.0,35971,105430,642771918.1,2026,3,2
2026-03-02,BMK6,BRM-5.26,BRM,88588341.65,14849.0,4975,8012,47888124.6,2026,3,2
2026-03-02,BMM6,BRM-6.26,BRM,26145693.17,4405.0,1423,5834,34892628.94,2026,3,2
2026-03-02,BMN6,BRM-7.26,BRM,13100732.39,2203.0,579,2418,14553264.96,2026,3,2
2026-03-02,BMQ6,BRM-8.26,BRM,11312767.83,1895.0,483,4220,25294806.6,2026,3,2
2026-03-02,BMU6,BRM-9.26,BRM,7786604.31,1320.0,367,726,4316926.68,2026,3,2
2026-03-02,BMV6,BRM-10.26,BRM,4468434.28,747.0,313,664,3930328.88,2026,3,2
2026-03-02,BNH6,BANE-3.26,BANE,27434065.0,17088.0,1215,12776,21003744.0,2026,3,2
2026-03-02,BNM6,BANE-6.26,BANE,6564270.0,3941.0,438,3000,5118000.0,2026,3,2
2026-03-02,BRH6,BR-3.26,BR,17914331556.4,319839.0,34672,0,0.0,2026,3,2
2026-03-02,BRJ6,BR-4.26,BR,67031584793.1,1102253.0,169372,378086,23059518072.04,2026,3,2
2026-03-02,BRK6,BR-5.26,BR,3702668521.29,62358.0,25430,31218,1866647531.1,2026,3,2
2026-03-02,BRM6,BR-6.26,BR,708146429.43,12017.0,6180,10990,654675948.5,2026,3,2
2026-03-02,BRN6,BR-7.26,BR,231070077.57,3965.0,2458,3020,178736525.6,2026,3,2
2026-03-02,BRQ6,BR-8.26,BR,148930214.91,2565.0,1699,3458,204125497.94,2026,3,2
2026-03-02,BRU6,BR-9.26,BR,74634634.38,1267.0,1012,1642,97142575.46,2026,3,2
2026-03-02,BRV6,BR-10.26,BR,81074052.79,1347.0,759,1944,116104408.56,2026,3,2
2026-03-02,BSH6,BSPB-3.26,BSPB,15393828.0,4518.0,402,20330,68979690.0,2026,3,2
2026-03-02,BSM6,BSPB-6.26,BSPB,1476472.0,455.0,63,9114,29675184.0,2026,3,2
2026-03-02,BTH6,BTC-3.26,BTC,2223500532.64,429691.0,35214,434702,2355863141.98,2026,3,2
2026-03-02,BTJ6,BTC-4.26,BTC,213432965.27,40524.0,8732,62586,344632312.44,2026,3,2
2026-03-02,BTK6,BTC-5.26,BTC,28094505.75,5244.0,1636,9662,54019952.14,2026,3,2
2026-03-02,BYH6,BYN-3.26,BYN,185540.0,7.0,6,12,319080.0,2026,3,2
2026-03-02,BZH6,BRAZIL-3.26,BRAZIL,806050.59,271.0,60,4044,11637742.32,2026,3,2
2026-03-02,BZM6,BRAZIL-6.26,BRAZIL,1323141.58,433.0,59,1454,4249373.16,2026,3,2
2026-03-02,CAH6,UCAD-3.26,UCAD,545474.44,7.0,5,42,3250784.04,2026,3,2
2026-03-02,CCH6,COCOA-3.26,COCOA,5948563254.0,2577593.0,95018,2175212,5163953288.0,2026,3,2
2026-03-02,CCJ6,COCOA-4.26,COCOA,115253511.0,46519.0,5307,83774,211110480.0,2026,3,2
2026-03-02,CEH6,COPPER-3.26,COPPER,886829340.14,85609.0,12616,334954,3406951115.6,2026,3,2
2026-03-02,CEM6,COPPER-6.26,COPPER,203434317.21,19206.0,4920,102242,1064088727.1,2026,3,2
2026-03-02,CFH6,UCHF-3.26,UCHF,3242540.91,42.0,20,722,56267698.2,2026,3,2
2026-03-02,CFM6,UCHF-6.26,UCHF,1003153.78,13.0,10,70,5407033.8,2026,3,2
2026-03-02,CHH6,CHMF-3.26,CHMF,82682192.0,860.0,561,3014,288919026.0,2026,3,2
2026-03-02,CHM6,CHMF-6.26,CHMF,7788060.0,78.0,65,384,38264064.0,2026,3,2
2026-03-02,CIH6,CHINA-3.26,CHINA,554132.13,121.0,62,1238,5765848.82,2026,3,2
2026-03-02,CIM6,CHINA-6.26,CHINA,709732.41,147.0,56,650,3075962.5,2026,3,2
2026-03-02,CMH6,CBOM-3.26,CBOM,12195806.0,2035.0,325,11068,65511492.0,2026,3,2
2026-03-02,CMM6,CBOM-6.26,CBOM,1309149.0,211.0,75,1028,6334536.0,2026,3,2
2026-03-02,CNYRUBF,CNYRUBF,CNYRUBTOM,22765329425.0,2032494.0,39431,13967502,156589664922.0,2026,3,2
2026-03-02,CRH6,CNY-3.26,CNY,69293023881.0,6167420.0,184347,35873470,403863525260.0,2026,3,2
2026-03-02,CRH7,CNY-3.27,CNY,2079345.0,168.0,60,5752,71330552.0,2026,3,2
2026-03-02,CRM6,CNY-6.26,CNY,14592576898.0,1270542.0,47240,4844360,55705295640.0,2026,3,2
2026-03-02,CRM7,CNY-6.27,CNY,1061537.0,83.0,36,928,11964704.0,2026,3,2
2026-03-02,CRU6,CNY-9.26,CNY,55245515.0,4710.0,903,100694,1183758664.0,2026,3,2
2026-03-02,CRZ6,CNY-12.26,CNY,6320584.0,526.0,228,39044,470597332.0,2026,3,2
2026-03-02,CSH6,CNI-3.26,CNI,72710.0,10.0,2,382,2779814.0,2026,3,2
2026-03-02,CSM6,CNI-6.26,CNI,114570.0,15.0,4,252,1868832.0,2026,3,2
2026-03-02,DJH6,DJ30-3.26,DJ30,6628531.45,177.0,32,1556,58695992.16,2026,3,2
2026-03-02,DJM6,DJ30-6.26,DJ30,1538258.8,41.0,30,204,7729996.56,2026,3,2
2026-03-02,DXH6,DAX-3.26,DAX,28581501.31,1552.0,294,9226,169559764.22,2026,3,2
2026-03-02,DXM6,DAX-6.26,DAX,3147304.11,170.0,114,892,16429203.88,2026,3,2
2026-03-02,EAH6,ENPG-3.26,ENPG,9993144.0,2011.0,263,5978,29441650.0,2026,3,2
2026-03-02,EAM6,ENPG-6.26,ENPG,1485466.0,287.0,91,2416,12396496.0,2026,3,2
2026-03-02,EDH6,ED-3.26,ED,4796574835.5,52908.0,8635,327740,29630527673.6,2026,3,2
2026-03-02,EDM6,ED-6.26,ED,769787196.52,8468.0,2947,60732,5506164142.92,2026,3,2
2026-03-02,EDU6,ED-9.26,ED,1269703.08,14.0,12,66,5981741.04,2026,3,2
2026-03-02,EDZ6,ED-12.26,ED,364767.8,4.0,3,32,2921723.2,2026,3,2
2026-03-02,EHH6,ETH-3.26,ETH,455253959.69,296966.0,15442,223320,359596563.6,2026,3,2
2026-03-02,EHJ6,ETH-4.26,ETH,48761873.49,31192.0,5072,34324,56050748.76,2026,3,2
2026-03-02,EHK6,ETH-5.26,ETH,10199224.43,6348.0,1701,11324,18867822.32,2026,3,2
2026-03-02,EMH6,EM-3.26,EM,1532427.84,323.0,82,2380,11251735.6,2026,3,2
2026-03-02,EMM6,EM-6.26,EM,663769.75,135.0,75,382,1855183.0,2026,3,2
2026-03-02,ETH6,ETHA-3.26,ETHA,250828354.97,215652.0,5717,594552,725418840.72,2026,3,2
2026-03-02,ETM6,ETHA-6.26,ETHA,15956608.9,13212.0,2149,181052,228027751.92,2026,3,2
2026-03-02,EuH6,Eu-3.26,Eu,7848148746.0,86682.0,26873,1190248,108051903688.0,2026,3,2
2026-03-02,EuM6,Eu-6.26,Eu,2940546970.0,31792.0,9032,543558,50486754156.0,2026,3,2
2026-03-02,EURRUBF,EURRUBF,EURRUBTOM,1374955710.0,15161.0,3087,97200,8818956000.0,2026,3,2
2026-03-02,EuU6,Eu-9.26,Eu,1419867.0,15.0,15,410,39077510.0,2026,3,2
2026-03-02,EuZ6,Eu-12.26,Eu,294795.0,3.0,3,148,14621364.0,2026,3,2
2026-03-02,FEH6,FESH-3.26,FESH,32407801.0,5878.0,340,7666,41956018.0,2026,3,2
2026-03-02,FEM6,FESH-6.26,FESH,690461.0,122.0,19,816,4554096.0,2026,3,2
2026-03-02,FFH6,TTF-3.26,TTF,1444208532.06,369316.0,27029,86984,352183428.72,2026,3,2
2026-03-02,FFJ6,TTF-4.26,TTF,157680222.94,42179.0,8246,21130,83011529.3,2026,3,2
2026-03-02,FLH6,FLOT-3.26,FLOT,39401137.0,4984.0,1040,13256,104205416.0,2026,3,2
2026-03-02,FLM6,FLOT-6.26,FLOT,2002284.0,245.0,80,634,5165832.0,2026,3,2
2026-03-02,FNH6,FNI-3.26,FNI,324148.0,32.0,16,460,4619780.0,2026,3,2
2026-03-02,FNM6,FNI-6.26,FNI,219772.0,22.0,15,114,1140000.0,2026,3,2
2026-03-02,FSH6,FEES-3.26,FEES,20942685.0,2847.0,511,30252,220053048.0,2026,3,2
2026-03-02,FSM6,FEES-6.26,FEES,2504654.0,326.0,85,2910,22040340.0,2026,3,2
2026-03-02,GAZPF,GAZPF,GAZPF,971407538.0,74954.0,11510,311010,4029445560.0,2026,3,2
2026-03-02,GDH6,GOLD-3.26,GOLD,132199570184.86,319107.0,117792,393356,162553627490.72,2026,3,2
2026-03-02,GDM6,GOLD-6.26,GOLD,9839585884.49,23427.0,15362,59702,24978592614.74,2026,3,2
2026-03-02,GDU6,GOLD-9.26,GOLD,823877103.17,1959.0,1573,11606,4873902212.62,2026,3,2
2026-03-02,GDZ6,GOLD-12.26,GOLD,285758908.65,675.0,601,5386,2267652499.2,2026,3,2
2026-03-02,GKH6,GMKN-3.26,GMKN,452496993.0,274549.0,9521,1395740,2276451940.0,2026,3,2
2026-03-02,GKM6,GMKN-6.26,GMKN,35334296.0,20854.0,1520,200218,335965804.0,2026,3,2
