TRADEDATE,SECID,SHORTNAME,ASSETCODE,VALUE,VOLUME,NUMTRADES,OPENPOSITION,OPENPOSITIONVALUE,year,month,day
2024-03-26,AEM4,AED-6.24,AED,156503.0,6.0,6,22,570988.0,2024,3,26
2024-03-26,AFM4,AFLT-6.24,AFLT,17036559.0,4044.0,562,22472,94854312.0,2024,3,26
2024-03-26,AFU4,AFLT-9.24,AFLT,301549.0,69.0,25,828,3622500.0,2024,3,26
2024-03-26,AFZ4,AFLT-12.24,AFLT,27534.0,7.0,2,14,57456.0,2024,3,26
2024-03-26,AKM4,AFKS-6.24,AFKS,52225688.0,2432.0,715,6314,136294004.0,2024,3,26
2024-03-26,AKU4,AFKS-9.24,AFKS,374443.0,17.0,8,34,751298.0,2024,3,26
2024-03-26,ALM4,ALRS-6.24,ALRS,41694410.0,5276.0,1314,53454,424692030.0,2024,3,26
2024-03-26,ALU4,ALRS-9.24,ALRS,145655.0,18.0,8,386,3131618.0,2024,3,26
2024-03-26,ALZ4,ALRS-12.24,ALRS,8799.0,1.0,1,2,17168.0,2024,3,26
2024-03-26,ASM4,ASTR-6.24,ASTR,22601849.0,31862.0,1465,32926,23805498.0,2024,3,26
2024-03-26,ASU4,ASTR-9.24,ASTR,214161.0,298.0,41,710,532500.0,2024,3,26
2024-03-26,AUM4,AUDU-6.24,AUDU,182469.75,3.0,1,8,486215.04,2024,3,26
2024-03-26,BEH5,BELU-3.25,BELU,642522.0,104.0,36,94,562308.0,2024,3,26
2024-03-26,BEM4,BELU-6.24,BELU,7602696.0,1287.0,207,3940,23328740.0,2024,3,26
2024-03-26,BNH5,BANE-3.25,BANE,9579.0,3.0,2,8,28104.0,2024,3,26
2024-03-26,BNM4,BANE-6.24,BANE,6640507.0,2204.0,233,28712,86624104.0,2024,3,26
2024-03-26,BNU4,BANE-9.24,BANE,139225.0,49.0,14,1312,3737888.0,2024,3,26
2024-03-26,BNZ4,BANE-12.24,BANE,11284.0,4.0,4,192,539712.0,2024,3,26
2024-03-26,BRJ4,BR-4.24,BR,13856998064.97,172471.0,45322,161082,12941882002.08,2024,3,26
2024-03-26,BRK4,BR-5.24,BR,2900373493.42,36248.0,15203,75650,6051322932.5,2024,3,26
2024-03-26,BRM4,BR-6.24,BR,65397981.98,818.0,696,5424,433519383.36,2024,3,26
2024-03-26,BRN4,BR-7.24,BR,3434663.45,43.0,41,1372,109340593.32,2024,3,26
2024-03-26,BRQ4,BR-8.24,BR,2228946.18,28.0,27,800,63577400.0,2024,3,26
2024-03-26,BRU4,BR-9.24,BR,1825513.46,23.0,20,402,32066937.0,2024,3,26
2024-03-26,BRV4,BR-10.24,BR,1259678.3,16.0,15,394,31074382.06,2024,3,26
2024-03-26,BRX4,BR-11.24,BR,240650.11,3.0,3,130,10427769.3,2024,3,26
2024-03-26,BSH5,BSPB-3.25,BSPB,3990.0,1.0,1,2,7138.0,2024,3,26
2024-03-26,BSM4,BSPB-6.24,BSPB,3554629.0,1190.0,150,12742,37971160.0,2024,3,26
2024-03-26,BSU4,BSPB-9.24,BSPB,355787.0,117.0,34,498,1499478.0,2024,3,26
2024-03-26,CAM4,UCAD-6.24,UCAD,185026.38,2.0,1,6,554752.02,2024,3,26
2024-03-26,CFM4,UCHF-6.24,UCHF,2016552.23,22.0,4,622,57236240.96,2024,3,26
2024-03-26,CHM4,CHMF-6.24,CHMF,91787228.0,529.0,399,1106,190779470.0,2024,3,26
2024-03-26,CHU4,CHMF-9.24,CHMF,3930179.0,22.0,20,22,3893978.0,2024,3,26
2024-03-26,CMM4,CBOM-6.24,CBOM,328522.0,41.0,9,250,2008750.0,2024,3,26
2024-03-26,CNYRUBF,CNYRUBF,CNYRUBTOM,6600008758.0,515939.0,6700,3864320,49459431680.0,2024,3,26
2024-03-26,CoM4,Co-6.24,Co,85457.73,1.0,1,12,1006241.4,2024,3,26
2024-03-26,CRH5,CNY-3.25,CNY,140147.0,10.0,9,1622,22729086.0,2024,3,26
2024-03-26,CRM4,CNY-6.24,CNY,21049872348.0,1607739.0,47396,31505612,412849539648.0,2024,3,26
2024-03-26,CRM5,CNY-6.25,CNY,42974.0,3.0,2,394,5649566.0,2024,3,26
2024-03-26,CRU4,CNY-9.24,CNY,28270441.0,2110.0,519,58798,788422382.0,2024,3,26
2024-03-26,CRZ4,CNY-12.24,CNY,191522.0,14.0,10,4868,66642920.0,2024,3,26
2024-03-26,DJM4,DJ30-6.24,DJ30,2053218.11,55.0,38,64,2363862.4,2024,3,26
2024-03-26,DXH5,DAX-3.25,DAX,15258.78,1.0,1,2,30515.54,2024,3,26
2024-03-26,DXM4,DAX-6.24,DAX,20270096.99,1334.0,213,31842,485773909.92,2024,3,26
2024-03-26,DXU4,DAX-9.24,DAX,14608.76,1.0,1,222,3274593.24,2024,3,26
2024-03-26,EDM4,ED-6.24,ED,3363891587.55,33598.0,6483,1236052,123608574421.96,2024,3,26
2024-03-26,EDU4,ED-9.24,ED,58624345.61,588.0,484,968,96371766.48,2024,3,26
2024-03-26,EuM4,Eu-6.24,Eu,6907484491.0,67166.0,21409,1768548,182056099668.0,2024,3,26
2024-03-26,EURRUBF,EURRUBF,EURRUBTOM,489819930.0,4873.0,1745,47796,4802064120.0,2024,3,26
