Отметка времени,Проводили ли вы сделки на своём брокерском счёте в последнее время?,Ваш телеграмм (в формате @username),Почему вы в настоящее время не инвестируете на бирже?,Каким образом вы в основном распоряжаетесь свободными деньгами?,Что могло бы побудить вас начать инвестировать?,Сколько вам лет?,Ваш опыт в инвестициях:,Как часто вы торгуете?,Какими финансовыми инструментами вы чаще пользуетесь или пользовались?,К какому типу инвесторов по отношению к риску вы себя относите?,Как вы относитесь к инструментам маржинальной торговли?,Услугами какого брокера вы пользуетесь чаще всего?,Как вы выбирали своего основного брокера? ,Что в первую очередь побудило вас начать инвестировать? ,"Как вы оцениваете текущий уровень сервиса вашего брокера именно по срочному рынку (фьючерсы, опционы и др.)?",Какими торговыми интерфейсами вы пользуетесь чаще всего?,Какие источники информации при совершении сделок для вас наиболее авторитетны? ,"Часто ли вы принимаете инвестиционные решения на основе аналитики и советов финфлюенсеров (люди, которые в социальных сетях, блогах дают советы, рекомендации или высказывают мнения на финансовые темы)?","Представьте, что в ленте социальных сетей вам попался короткий ролик от известного инвестиционного блогера, где он объясняет работу опционов. Насколько вероятно, что вы досмотрите его до конца?","Если бы в конце такого ролика была ссылка на полный разбор стратегий торговли опционами (15–20 минут), насколько вероятно, что вы перешли бы по ней?","Как вы относитесь к элементам геймификации в инвестиционных приложениях (обучающие квесты, демо-счета, виртуальные награды за сделки)?",Торгуете ли вы опционами?,Имеете ли вы опыт торговли криптовалютой с целью получения прибыли,"Вы согласны с утверждением: «Одна из причин, по которой я выбрал криптовалюту, - это более низкий барьер входа по сравнению с биржевыми инструментами»?","Знакомы ли вы с такими понятиями как «временной распад стоимости опциона», «опцион в деньгах/вне денег», «страйк», «пут и колл», «греки», «улыбка волатильности»?",При каких условиях вы бы скорее всего начали торговать опционами? ,"Если бы в приложении брокера (или в любом брокерском приложении, которым вы могли бы воспользоваться) появилась «песочница» для торговли опционами — виртуальный счёт с реальными котировками и полным функционалом — насколько вероятно, что вы начали бы с ней работать в ближайшие 6 месяцев?","Если бы после освоения «песочницы» вы почувствовали уверенность в своих действиях, насколько вероятно, что вы перешли бы к реальной торговле опционами?","Готовы ли вы пройти обучение для старта торговли опционами в ближайшее время, если найдёте подходящий каталог курсов от Московской биржи?","Что вы, скорее всего, сделаете после открытия каталога курсов?",Какое было бы ваше следующее действие после прохождения обучающего курса по опционам?,"Какую практическую задачу, по вашему мнению, опционы закрывают лучше всего?",Какие барьеры в постоянной торговле опционами вам видятся наиболее существенными (кроме низкой ликвидности)?,Какие барьеры для самой первой сделки с опционами вам видятся наиболее существенными  (кроме низкой ликвидности)?,Что из перечисленного является для вас основным препятствием для начала или расширения торговли опционами  (кроме низкой ликвидности)  ? ,"Насколько для вас важен интуитивно понятный, простой интерфейс при торговле опционами? ","Если в прошлом вопросе вы выбрали 3 или менее, укажите, что именно в интерфейсе приложения кажется вам неудобным или непонятным при работе с опционами?","Какую практическую задачу, по вашему мнению, опционы закрывают лучше всего? ",Каков ваш наиболее частый горизонт инвестирования при использовании опционов?,"Если вспомнить ваш самый первый опыт торговли, какие барьеры для первой сделки с опционами были наиболее существенными (кроме низкой ликвидности)?",Какой барьер в постоянной торговле опционами вам видится наиболее существенным? ,Оцените удобство интерфейса торгового приложения вашего брокера именно для работы с опционами.,"Если в прошлом вопросе вы выбрали 3 или менее, укажите, что именно в интерфейсе приложения кажется вам неудобным или непонятным при работе с опционами?"
28.05.2026 23:29:16,Да,,,,,16-25,1–5 лет,Реже чем раз в неделю,"Акции, Облигации",Консервативный (минимальный риск),Не использовал(-а) никогда,Финам,Известность и надёжность бренда,Реклама в СМИ / интернете,Хороший,Мобильное приложение,"Данные ЦБ и регулирующих органов, Обучающие курсы (платные / бесплатные), Инвестблогеры/ финфлюенсеры",Редко,10,10,Положительно,Нет,Да,Да,,,,,,,,,,,,,,,,,,,
28.05.2026 23:45:26,Да,@Kay4Real06,,,,16-25,1–5 лет,Несколько раз в неделю,"Акции, Фьючерсы, Товарные контракты",Умеренный (сбалансированный риск),Торгую с плечом постоянно,Т-Банк,Удобный интерфейс терминала / мобильного приложения,"Самостоятельный интерес (книги, аналитика)",Достаточный,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Свов аналитика",Редко,0,8,Отрицательно,Да,,,,,,,,,,,,,,,,"Защищать другую открытую позицию (хеджирование), Реализовывать специфический сценарий (рост, падение, изменение волатильности)",Краткосрочный (несколько дней),Отсутствие достаточной информации по опционам,Высокие комиссии,2,"По опционам у т банка вообще скудный интерфейс. Оч мало инфы, которая важна"
28.05.2026 23:54:55,Нет,@idilsin07 ,"Недостаток знаний и опыта, Страх потерять сбережения, Недоверие к брокерам / бирже",Накопительный счёт,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Да,Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента,1,2,Нет,Закрою каталог,Попробую поторговать в демо-версии,Получать большую доходность сравнительно с базовыми активами,Страх перед повышенным риском,Недостаток аналитики по опционам,Недостаток аналитики по опционам,4,Макар лох,,,,,,
28.05.2026 23:55:29,Нет,,Недостаток знаний и опыта,Банковский вклад,"Понятное и доступное обучение, Появление простого и удобного мобильного приложения",,,,,,,,,,,,,,,,,,,,Нет,"При поддержке персонального финансового помощника, При наличии понятного интерактивного обучения",7,8,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,Получать большую доходность сравнительно с базовыми активами,"Отсутствие понятного обучения, Страх перед повышенным риском","Сложность инструмента, Отсутствие понятного обучения, Отсутствие достаточной рекламы/ информации",Отсутствие достаточной рекламы/ информации,9,,,,,,,
29.05.2026 0:02:14,Да,kirltra,,,,16-25,Более 5 лет,Это мой основной род деятельности,"Акции, Облигации, Фьючерсы, Опционы, Валютные инструменты, Товарные контракты, Структурные продукты",Агрессивный (готов на высокий риск ради доходности),Торгую с плечом постоянно,Lime Trade или же Jast two trade (офшорки финама на кипре) ,Самые низкие комиссии,"Самостоятельный интерес (книги, аналитика)",Очень высокий,Web-терминал (в браузере),Аналитика от брокера,Никогда,0,0,Отрицательно,Да,,,,,,,,,,,,,,,,"Ограничивать рыночный риск, Получать большую доходность по сравнению с базовым активом",Краткосрочный (несколько дней),Отсутствие достаточной информации по опционам,Низкая ликвидность,4,
29.05.2026 0:09:30,Нет,@rosiesliss,Нет свободных денег,Накопительный счёт,Низкий порог входа (небольшая сумма для старта),,,,,,,,,,,,,,,,,,,,Да,При наличии свободного времени,6,5,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Защищать другую открытую позицию, Реализовывать специфический сценарий (рост, падение, волатильность)",Недостаток аналитики по опционам,"Недостаток аналитики по опционам, Высокий порог входа (размер капитала)",Недостаток аналитики по опционам,7,,,,,,,
29.05.2026 0:18:12,Да,@boe1fy,,,,16-25,Менее 1 года,Несколько раз в неделю,"Акции, Облигации",Консервативный (минимальный риск),Не использовал(-а) никогда,Альфа-Банк,По совету знакомых / родственников,"Самостоятельный интерес (книги, аналитика)",Очень высокий,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Инвестблогеры/ финфлюенсеры",Редко,3,0,Положительно,Нет,Нет,,Да,Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента,8,9,Рассмотрел бы и платное,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Реализовывать специфический сценарий (рост, падение, волатильность)",Недостаток аналитики по опционам,"Сложность инструмента, Недостаток аналитики по опционам, Высокий порог входа (размер капитала)",Недостаток аналитики по опционам,10,,,,,,,
29.05.2026 0:24:54,Нет,,"Не вижу смысла, доходность не привлекает",Вкладываю в недвижимость,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Да,Если бы появилась ликвидность на российском рынке,0,0,Нет,Закрою каталог,Не буду торговать опционами,Защищать другую открытую позицию,"Сложность инструмента, Недостаток аналитики по опционам, Отсутствие понятного обучения, Высокие комиссии, Страх перед повышенным риском",Высокий порог входа (размер капитала),Недостаток аналитики по опционам,0,"Интерфейс пофиг, дайте ликвидноси пожалуйста ",,,,,,
29.05.2026 0:44:16,Да,@antonkostin123,,,,16-25,Менее 1 года,Реже чем раз в неделю,"Акции, Облигации, Валютные инструменты",Агрессивный (готов на высокий риск ради доходности),Не использовал(-а) никогда,Т-Банк,По совету знакомых / родственников,"Совет друзей, родственников или коллег",Хороший,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика от брокера, Инвестблогеры/ финфлюенсеры",Часто,5,0,Положительно,Нет,Нет,,Да,При наличии понятного интерактивного обучения,10,10,Нет,Начну проходить интересующий курс,Попробую поторговать в демо-версии,"Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Отсутствие понятного обучения, Страх перед повышенным риском","Сложность инструмента, Отсутствие понятного обучения",Сложность инструмента,5,,,,,,,
29.05.2026 1:14:19,Нет,@coralssssnake,"Нет свободных денег, Недоверие к брокерам / бирже",Накопительный счёт,"Гарантии сохранности капитала, Низкий порог входа (небольшая сумма для старта)",,,,,,,,,,,,,,,,,,,,Нет,Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента,3,5,"Да, но только бесплатное",Начну проходить интересующий курс,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Защищать другую открытую позицию","Сложность инструмента, Недостаток аналитики по опционам","Недостаток аналитики по опционам, Отсутствие понятного обучения, Высокий порог входа (размер капитала), Отсутствие достаточной рекламы/ информации",Отсутствие понятного обучения,10,,,,,,,
